,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,(%),(md),(mm),categ,,,,,
196,3.0,196.0,25.5,1778.2794100389244,,,Mid-braided stream,NM,,,
197,3.0,197.0,26,2041.7379446695318,,,Mid-braided stream,NM,,,
198,3.0,198.0,20.8,1000,,,Mid-braided stream,NM,,,
199,3.0,199.0,22.3,1000,,,Mid-braided stream,NM,,,
200,3.0,200.0,24,1096.4781961431863,,,Mid-braided stream,NM,,,
201,3.0,201.0,28.5,1230.2687708123824,,,Mid-braided stream,NM,,,
202,3.0,202.0,21.3,794.3282347242821,,,Mid-braided stream,NM,,,
203,3.0,203.0,23.8,851.1380382023776,,,Mid-braided stream,NM,,,
204,3.0,204.0,25.5,724.4359600749902,,,Mid-braided stream,NM,,,
205,3.0,205.0,27,645.6542290346559,,,Mid-braided stream,NM,,,
206,3.0,206.0,21.8,645.6542290346559,,,Mid-braided stream,NM,,,
207,3.0,207.0,22.9,588.8436553555896,,,Mid-braided stream,NM,,,
208,3.0,208.0,24.5,562.3413251903493,,,Mid-braided stream,NM,,,
209,3.0,209.0,20,524.8074602497729,,,Mid-braided stream,NM,,,
210,3.0,210.0,21.3,426.57951880159294,,,Mid-braided stream,NM,,,
211,3.0,211.0,23,363.0780547701015,,,Mid-braided stream,NM,,,
212,3.0,212.0,23,316.22776601683825,,,Mid-braided stream,NM,,,
213,3.0,213.0,15,1318.256738556409,,,Mid-braided stream,NM,,,
214,3.0,214.0,16.6,1318.256738556409,,,Mid-braided stream,NM,,,
215,3.0,215.0,18.8,1584.8931924611156,,,Mid-braided stream,NM,,,
216,3.0,216.0,19.2,1023.2929922807547,,,Mid-braided stream,NM,,,
217,3.0,217.0,18.1,794.3282347242821,,,Mid-braided stream,NM,,,
218,3.0,218.0,19.2,851.1380382023776,,,Mid-braided stream,NM,,,
219,3.0,219.0,12.6,371.53522909717265,,,Mid-braided stream,NM,,,
220,3.0,220.0,16,407.3802778041127,,,Mid-braided stream,NM,,,
221,3.0,221.0,16.5,354.81338923357566,,,Mid-braided stream,NM,,,
222,3.0,222.0,18,407.3802778041127,,,Mid-braided stream,NM,,,
223,3.0,223.0,18.1,323.59365692962825,,,Mid-braided stream,NM,,,
224,3.0,224.0,19.4,380.1893963205616,,,Mid-braided stream,NM,,,
225,3.0,225.0,21.7,316.22776601683825,,,Mid-braided stream,NM,,,
226,3.0,226.0,12.8,245.4708915685033,,,Mid-braided stream,NM,,,
227,3.0,227.0,15.9,251.18864315095806,,,Mid-braided stream,NM,,,
228,3.0,228.0,17.7,245.4708915685033,,,Mid-braided stream,NM,,,
229,3.0,229.0,14,158.48931924611153,,,Mid-braided stream,NM,,,
230,3.0,230.0,16,199.52623149688802,,,Mid-braided stream,NM,,,
231,3.0,231.0,17.8,190.5460717963248,,,Mid-braided stream,NM,,,
232,3.0,232.0,30.8,4365.158322401663,,,Mid-distal braided stream,NM,,,
233,3.0,233.0,30.3,758.5775750291838,,,Mid-distal braided stream,NM,,,
234,3.0,234.0,29.2,7762.471166286932,,,Mid-distal braided stream,NM,,,
235,3.0,235.0,28.9,3162.2776601683804,,,Mid-distal braided stream,NM,,,
236,3.0,236.0,27.7,3019.9517204020176,,,Mid-distal braided stream,NM,,,
237,3.0,237.0,26.5,2238.7211385683418,,,Mid-distal braided stream,NM,,,
238,3.0,238.0,24.5,1479.1083881682086,,,Mid-distal braided stream,NM,,,
239,3.0,239.0,28.5,2290.867652767775,,,Mid-distal braided stream,NM,,,
240,3.0,240.0,28.3,1949.8445997580463,,,Mid-distal braided stream,NM,,,
241,3.0,241.0,27.7,1698.2436524617447,,,Mid-distal braided stream,NM,,,
242,3.0,242.0,26.8,1513.5612484362093,,,Mid-distal braided stream,NM,,,
243,3.0,243.0,27,1380.3842646028863,,,Mid-distal braided stream,NM,,,
244,3.0,244.0,27.2,1584.8931924611156,,,Mid-distal braided stream,NM,,,
245,3.0,245.0,30,1412.5375446227545,,,Mid-distal braided stream,NM,,,
246,3.0,246.0,25.8,1148.153621496884,,,Mid-distal braided stream,NM,,,
247,3.0,247.0,26.9,1148.153621496884,,,Mid-distal braided stream,NM,,,
248,3.0,248.0,28.6,1023.2929922807547,,,Mid-distal braided stream,NM,,,
249,3.0,249.0,24,954.9925860214368,,,Mid-distal braided stream,NM,,,
250,3.0,250.0,25.5,851.1380382023776,,,Mid-distal braided stream,NM,,,
251,3.0,251.0,25.8,933.254300796992,,,Mid-distal braided stream,NM,,,
252,3.0,252.0,26.4,891.2509381337466,,,Mid-distal braided stream,NM,,,
253,3.0,253.0,27,954.9925860214368,,,Mid-distal braided stream,NM,,,
254,3.0,254.0,28,977.2372209558114,,,Mid-distal braided stream,NM,,,
255,3.0,255.0,29.2,794.3282347242821,,,Mid-distal braided stream,NM,,,
256,3.0,256.0,29.5,891.2509381337466,,,Mid-distal braided stream,NM,,,
257,3.0,257.0,30.2,776.2471166286923,,,Mid-distal braided stream,NM,,,
258,3.0,258.0,23.3,691.8309709189367,,,Mid-distal braided stream,NM,,,
259,3.0,259.0,25.5,630.9573444801932,,,Mid-distal braided stream,NM,,,
260,3.0,260.0,25.8,724.4359600749902,,,Mid-distal braided stream,NM,,,
261,3.0,261.0,26.6,794.3282347242821,,,Mid-distal braided stream,NM,,,
262,3.0,262.0,27.4,724.4359600749902,,,Mid-distal braided stream,NM,,,
263,3.0,263.0,28,691.8309709189367,,,Mid-distal braided stream,NM,,,
264,3.0,264.0,18.3,501.1872336272727,,,Mid-distal braided stream,NM,,,
265,3.0,265.0,21,549.5408738576253,,,Mid-distal braided stream,NM,,,
266,3.0,266.0,22.7,446.6835921509633,,,Mid-distal braided stream,NM,,,
267,3.0,267.0,23.9,501.1872336272727,,,Mid-distal braided stream,NM,,,
268,3.0,268.0,24.8,501.1872336272727,,,Mid-distal braided stream,NM,,,
269,3.0,269.0,25.6,512.8613839913652,,,Mid-distal braided stream,NM,,,
270,3.0,270.0,26.6,575.4399373371571,,,Mid-distal braided stream,NM,,,
271,3.0,271.0,27.7,537.031796370253,,,Mid-distal braided stream,NM,,,
272,3.0,272.0,25.4,446.6835921509633,,,Mid-distal braided stream,NM,,,
273,3.0,273.0,26.3,467.7351412871983,,,Mid-distal braided stream,NM,,,
274,3.0,274.0,27,467.7351412871983,,,Mid-distal braided stream,NM,,,
275,3.0,275.0,26.4,389.04514499428063,,,Mid-distal braided stream,NM,,,
276,3.0,276.0,27.7,371.53522909717265,,,Mid-distal braided stream,NM,,,
277,3.0,277.0,19.4,223.87211385683412,,,Mid-distal braided stream,NM,,,
278,3.0,278.0,21.6,251.18864315095806,,,Mid-distal braided stream,NM,,,
279,3.0,279.0,24,281.83829312644554,,,Mid-distal braided stream,NM,,,
280,3.0,280.0,24.9,316.22776601683825,,,Mid-distal braided stream,NM,,,
281,3.0,281.0,23,223.87211385683412,,,Mid-distal braided stream,NM,,,
282,3.0,282.0,24.1,239.88329190194912,,,Mid-distal braided stream,NM,,,
283,3.0,283.0,26.7,257.03957827688663,,,Mid-distal braided stream,NM,,,
284,3.0,284.0,23.7,190.5460717963248,,,Mid-distal braided stream,NM,,,
285,3.0,285.0,19,28.183829312644548,,,Mid-distal braided stream,NM,,,
286,3.0,286.0,20.9,31.622776601683803,,,Mid-distal braided stream,NM,,,
287,3.0,287.0,22,602.5595860743578,,,Distal fluvial and floodplain,NM,,,
288,3.0,288.0,24.8,660.6934480075964,,,Distal fluvial and floodplain,NM,,,
289,3.0,289.0,26.5,645.6542290346559,,,Distal fluvial and floodplain,NM,,,
290,3.0,290.0,22.9,398.1071705534976,,,Distal fluvial and floodplain,NM,,,
291,3.0,291.0,23.9,398.1071705534976,,,Distal fluvial and floodplain,NM,,,
292,3.0,292.0,24.8,398.1071705534976,,,Distal fluvial and floodplain,NM,,,
293,3.0,293.0,26.2,416.8693834703357,,,Distal fluvial and floodplain,NM,,,
294,3.0,294.0,23.7,346.7368504525318,,,Distal fluvial and floodplain,NM,,,
295,3.0,295.0,24.9,346.7368504525318,,,Distal fluvial and floodplain,NM,,,
296,3.0,296.0,25.5,346.7368504525318,,,Distal fluvial and floodplain,NM,,,
297,3.0,297.0,20.9,251.18864315095806,,,Distal fluvial and floodplain,NM,,,
298,3.0,298.0,22.6,281.83829312644554,,,Distal fluvial and floodplain,NM,,,
299,3.0,299.0,25.2,309.02954325135937,,,Distal fluvial and floodplain,NM,,,
300,3.0,300.0,26.2,316.22776601683825,,,Distal fluvial and floodplain,NM,,,
301,3.0,301.0,25.4,263.02679918953817,,,Distal fluvial and floodplain,NM,,,
302,3.0,302.0,26.1,281.83829312644554,,,Distal fluvial and floodplain,NM,,,
303,3.0,303.0,21.4,186.20871366628685,,,Distal fluvial and floodplain,NM,,,
304,3.0,304.0,22.2,190.5460717963248,,,Distal fluvial and floodplain,NM,,,
305,3.0,305.0,23.5,223.87211385683412,,,Distal fluvial and floodplain,NM,,,
306,3.0,306.0,24.5,199.52623149688802,,,Distal fluvial and floodplain,NM,,,
307,3.0,307.0,25.5,208.92961308540396,,,Distal fluvial and floodplain,NM,,,
