,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,GRAINSIZE_ORI
0,,,(%),(md),(mm),categ,,,,categ
220,58.0,,22.1,0.38904514499428056,,f,,,,open circle -- fine-grained
221,58.0,,22.4,0.5370317963702527,,f,,,,open circle -- fine-grained
222,58.0,,22.5,3.2359365692962836,,f,,,,open circle -- fine-grained
223,58.0,,22.5,6.309573444801934,,f,,,,open circle -- fine-grained
224,58.0,,22.6,35.481338923357555,,f,,,,open circle -- fine-grained
225,58.0,,22.9,7.0794578438413795,,f,,,,open circle -- fine-grained
226,58.0,,23,33.11311214825913,,f,,,,open circle -- fine-grained
227,58.0,,23.1,0.7079457843841379,,f,,,,open circle -- fine-grained
228,58.0,,23.8,36.307805477010156,,f,,,,open circle -- fine-grained
229,58.0,,24,20.4173794466953,,f,,,,open circle -- fine-grained
230,58.0,,24,52.480746024977286,,f,,,,open circle -- fine-grained
231,58.0,,24.3,70.79457843841386,,f,,,,open circle -- fine-grained
232,58.0,,24.4,3.467368504525317,,f,,,,open circle -- fine-grained
233,58.0,,24.5,41.68693834703356,,f,,,,open circle -- fine-grained
234,58.0,,24.5,81.28305161640996,,f,,,,open circle -- fine-grained
235,58.0,,24.5,2.570395782768864,,f,,,,open circle -- fine-grained
236,58.0,,24.6,125.89254117941677,,f,,,,open circle -- fine-grained
237,58.0,,24.8,20.4173794466953,,f,,,,open circle -- fine-grained
238,58.0,,25.1,10.232929922807543,,f,,,,open circle -- fine-grained
239,58.0,,25.6,20.8929613085404,,f,,,,open circle -- fine-grained
240,58.0,,25.6,25.703957827688647,,f,,,,open circle -- fine-grained
241,58.0,,26,1.202264434617413,,f,,,,open circle -- fine-grained
242,58.0,,26.2,7.0794578438413795,,f,,,,open circle -- fine-grained
243,58.0,,26.3,34.67368504525318,,f,,,,open circle -- fine-grained
244,58.0,,26.3,63.095734448019364,,f,,,,open circle -- fine-grained
245,58.0,,26.4,5.3703179637025285,,f,,,,open circle -- fine-grained
246,58.0,,26.7,9.549925860214358,,f,,,,open circle -- fine-grained
247,58.0,,27.5,15.848931924611136,,f,,,,open circle -- fine-grained
248,58.0,,28.7,169.82436524617444,,f,,,,open circle -- fine-grained
249,58.0,,1.5,0.030199517204020147,,vf,,,,closed circle -- very fine-grained
250,58.0,,3.3,0.019952623149688792,,vf,,,,closed circle -- very fine-grained
251,58.0,,3.7,0.0489778819368446,,vf,,,,closed circle -- very fine-grained
252,58.0,,3.8,0.019952623149688792,,vf,,,,closed circle -- very fine-grained
253,58.0,,3.8,0.01,,vf,,,,closed circle -- very fine-grained
254,58.0,,3.8,0.01,,vf,,,,closed circle -- very fine-grained
255,58.0,,3.8,0.01,,vf,,,,closed circle -- very fine-grained
256,58.0,,4.5,0.019952623149688792,,vf,,,,closed circle -- very fine-grained
257,58.0,,4.8,0.019952623149688792,,vf,,,,closed circle -- very fine-grained
258,58.0,,5.3,0.030199517204020147,,vf,,,,closed circle -- very fine-grained
259,58.0,,5.5,0.03981071705534973,,vf,,,,closed circle -- very fine-grained
260,58.0,,5.5,0.030199517204020147,,vf,,,,closed circle -- very fine-grained
261,58.0,,6.4,0.01,,vf,,,,closed circle -- very fine-grained
262,58.0,,6.5,0.03981071705534973,,vf,,,,closed circle -- very fine-grained
263,58.0,,6.5,0.019952623149688792,,vf,,,,closed circle -- very fine-grained
264,58.0,,6.7,0.030199517204020147,,vf,,,,closed circle -- very fine-grained
265,58.0,,6.8,0.019952623149688792,,vf,,,,closed circle -- very fine-grained
266,58.0,,7.1,0.06606934480075959,,vf,,,,closed circle -- very fine-grained
267,58.0,,7.2,0.010232929922807535,,vf,,,,closed circle -- very fine-grained
268,58.0,,7.5,0.01,,vf,,,,closed circle -- very fine-grained
269,58.0,,7.6,0.010232929922807535,,vf,,,,closed circle -- very fine-grained
270,58.0,,7.8,0.019952623149688792,,vf,,,,closed circle -- very fine-grained
271,58.0,,7.8,0.010232929922807535,,vf,,,,closed circle -- very fine-grained
272,58.0,,8.4,0.1513561248436208,,vf,,,,closed circle -- very fine-grained
273,58.0,,8.5,1.62181009735893,,vf,,,,closed circle -- very fine-grained
274,58.0,,8.6,0.030199517204020147,,vf,,,,closed circle -- very fine-grained
275,58.0,,8.8,0.21877616239495523,,vf,,,,closed circle -- very fine-grained
276,58.0,,8.9,0.01,,vf,,,,closed circle -- very fine-grained
277,58.0,,10.2,0.1,,vf,,,,closed circle -- very fine-grained
278,58.0,,10.8,0.22387211385683392,,vf,,,,closed circle -- very fine-grained
279,58.0,,10.8,0.01,,vf,,,,closed circle -- very fine-grained
280,58.0,,10.9,0.07762471166286913,,vf,,,,closed circle -- very fine-grained
281,58.0,,11.1,0.0489778819368446,,vf,,,,closed circle -- very fine-grained
282,58.0,,11.5,0.1,,vf,,,,closed circle -- very fine-grained
283,58.0,,11.7,0.05888436553555888,,vf,,,,closed circle -- very fine-grained
284,58.0,,12.7,0.07762471166286913,,vf,,,,closed circle -- very fine-grained
285,58.0,,13.4,0.1,,vf,,,,closed circle -- very fine-grained
286,58.0,,13.5,0.34673685045253166,,vf,,,,closed circle -- very fine-grained
287,58.0,,13.8,0.251188643150958,,vf,,,,closed circle -- very fine-grained
288,58.0,,14.2,0.1,,vf,,,,closed circle -- very fine-grained
289,58.0,,14.5,0.165958690743756,,vf,,,,closed circle -- very fine-grained
290,58.0,,16.5,0.1,,vf,,,,closed circle -- very fine-grained
